sssom_subject_id	sssom_subject_category	sssom_predicate_id	sssom_object_id	sssom_object_category	sssom_mapping_justification	sssom_author_id	sssom_author_label	sssom_creator_id	sssom_creator_label	sssom_subject_type	sssom_object_type	sssom_object_source	sssom_mapping_date	sssom_object_match_field	sssom_comment	semapv_regexRemoval	object_source_version	object_url	subject_url	sssom_reviewer_id	sssom_reviewer_label	sssom_subject_label	sssom_object_label	semapv_RegexRemoval	term_local_name
mids:PhysicalSpecimenID	mids:MIDS0	skos:narrowMatch	abcd:UnitID	abcd:Unit	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/UnitID	2024-06-24			|unknown:undigitized|unknown|Unknown	http://www.tdwg.org/schemas/abcd/2.06	http://rs.tdwg.org/abcd/terms/UnitID	https://tdwg.github.io/mids/information-elements#PhysicalSpecimenID						PhysicalSpecimenID
mids:PhysicalSpecimenID	mids:MIDS0	skos:narrowMatch	abcd:UnitGUID	abcd:Unit	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/UnitGUID	2024-06-24			|unknown:undigitized|unknown|Unknown	http://www.tdwg.org/schemas/abcd/2.06	http://rs.tdwg.org/abcd/terms/UnitGUID	https://tdwg.github.io/mids/information-elements#PhysicalSpecimenID						PhysicalSpecimenID
mids:Organization	mids:MIDS0	skos:narrowMatch	abcd:SourceInstitutionID	abcd:Unit	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/SourceInstitutionID	2024-06-24			|unknown:undigitized|unknown|Unknown	http://www.tdwg.org/schemas/abcd/2.06	http://rs.tdwg.org/abcd/terms/SourceInstitutionID	https://tdwg.github.io/mids/information-elements#Organization						Organization
mids:Organization	mids:MIDS0	skos:narrowMatch	abcd:Unit-Owner-OrganisationGUID	abcd:Unit	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Owner/Organisation/OrganisationGUID	2024-06-24			|unknown:undigitized|unknown|Unknown	http://www.tdwg.org/schemas/abcd/2.06	http://rs.tdwg.org/abcd/terms/Unit-Owner-OrganisationGUID	https://tdwg.github.io/mids/information-elements#Organization						Organization
mids:Organization	mids:MIDS0	skos:narrowMatch	abcd:DataSet-Owner-OrganisationGUID	abcd:DataSet	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Metadata/Owners/Owner/Organisation/OrganisationGUID	2024-06-24			|unknown:undigitized|unknown|Unknown	http://www.tdwg.org/schemas/abcd/2.06	http://rs.tdwg.org/abcd/terms/DataSet-Owner-OrganisationGUID	https://tdwg.github.io/mids/information-elements#Organization						Organization
mids:Name	mids:MIDS1	skos:narrowMatch	abcd:TaxonIdentified-FullScientificNameString	abcd:Unit	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Identifications/Identification/Result/TaxonIdentified/ScientificName/FullScientificNameString	2024-06-24			|unknown:undigitized|unknown|Unknown	http://www.tdwg.org/schemas/abcd/2.06	http://rs.tdwg.org/abcd/terms/TaxonIdentified-FullScientificNameString	https://tdwg.github.io/mids/information-elements#Name						Name
mids:Name	mids:MIDS1	skos:narrowMatch	abcd:TaxonIdentified-InformalNameString	abcd:Unit	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Identifications/Identification/Result/TaxonIdentified/InformalNameString	2024-06-24			|unknown:undigitized|unknown|Unknown	http://www.tdwg.org/schemas/abcd/2.06	http://rs.tdwg.org/abcd/terms/TaxonIdentified-InformalNameString	https://tdwg.github.io/mids/information-elements#Name						Name
mids:Name	mids:MIDS1	skos:narrowMatch	abcd:TaxonIdentified-NamedIndividual	abcd:Unit	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Identifications/Identification/Result/TaxonIdentified/ScientificName/NameAtomised/Zoological/NamedIndividual	2024-06-24			|unknown:undigitized|unknown|Unknown	http://www.tdwg.org/schemas/abcd/2.06	http://rs.tdwg.org/abcd/terms/TaxonIdentified-NamedIndividual	https://tdwg.github.io/mids/information-elements#Name						Name
mids:SpecimenType	mids:MIDS1	skos:exactMatch	abcd:RecordBasis	abcd:Unit	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/RecordBasis	2024-06-24			|unknown:undigitized|unknown|Unknown	http://www.tdwg.org/schemas/abcd/2.06	http://rs.tdwg.org/abcd/terms/RecordBasis	https://tdwg.github.io/mids/information-elements#SpecimenType						SpecimenType
mids:ObjectType	mids:MIDS1	skos:exactMatch	abcd:KindOfUnit	abcd:Unit	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/KindOfUnit	2024-06-24			|unknown:undigitized|unknown|Unknown	http://www.tdwg.org/schemas/abcd/2.06	http://rs.tdwg.org/abcd/terms/KindOfUnit	https://tdwg.github.io/mids/information-elements#ObjectType						ObjectType
mids:License	mids:MIDS1	skos:narrowMatch	abcd:Unit-License-Text	abcd:Unit	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/IPRStatements/Licenses/License/Text	2024-06-26			|unknown:undigitized|unknown|Unknown	http://www.tdwg.org/schemas/abcd/2.06	http://rs.tdwg.org/abcd/terms/Unit-License-Text	https://tdwg.github.io/mids/information-elements#License						License
mids:License	mids:MIDS1	skos:narrowMatch	abcd:Unit-License-URI	abcd:Unit	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/IPRStatements/Licenses/License/URI	2024-06-26			|unknown:undigitized|unknown|Unknown	http://www.tdwg.org/schemas/abcd/2.06	http://rs.tdwg.org/abcd/terms/Unit-License-URI	https://tdwg.github.io/mids/information-elements#License						License
mids:License	mids:MIDS1	skos:narrowMatch	abcd:DataSet-License-Text	abcd:DataSet	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Metadata/IPRStatements/Licenses/License/Text	2024-06-26			|unknown:undigitized|unknown|Unknown	http://www.tdwg.org/schemas/abcd/2.06	http://rs.tdwg.org/abcd/terms/DataSet-License-Text	https://tdwg.github.io/mids/information-elements#License						License
mids:License	mids:MIDS1	skos:narrowMatch	abcd:DataSet-License-URI	abcd:DataSet	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Metadata/IPRStatements/Licenses/License/URI	2024-06-26			|unknown:undigitized|unknown|Unknown	http://www.tdwg.org/schemas/abcd/2.06	http://rs.tdwg.org/abcd/terms/DataSet-License-URI	https://tdwg.github.io/mids/information-elements#License						License
mids:Modified	mids:MIDS1	skos:narrowMatch	abcd:DataSet-DateModified	abcd:DataSet	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Metadata/RevisionData/DateModified	2024-06-24			|unknown:undigitized|unknown|Unknown	http://www.tdwg.org/schemas/abcd/2.06	http://rs.tdwg.org/abcd/terms/DataSet-DateModified	https://tdwg.github.io/mids/information-elements#Modified						Modified
mids:Modified	mids:MIDS1	skos:narrowMatch	abcd:Unit-DateLastEdited	abcd:Unit	semapv:HumanCuration	orcid:0000-0002-0829-5849	David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/DateLastEdited	2024-06-24		alternative modified date on record level	|unknown:undigitized|unknown|Unknown	http://www.tdwg.org/schemas/abcd/2.06	http://rs.tdwg.org/abcd/terms/Unit-DateLastEdited	https://tdwg.github.io/mids/information-elements#Modified						Modified
mids:QualitativeLocation	mids:MIDS2	skos:narrowMatch	abcd:Gathering-LocalityText	abcd:Unit	semapv:HumanCuration	orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/LocalityText	2024-06-26			|unknown:undigitized|unknown|Unknown	http://www.tdwg.org/schemas/abcd/2.06	http://rs.tdwg.org/abcd/terms/Gathering-LocalityText	https://tdwg.github.io/mids/information-elements#QualitativeLocation						QualitativeLocation
mids:QualitativeLocation	mids:MIDS2	skos:narrowMatch	abcd:Gathering-Country	abcd:Unit	semapv:HumanCuration	orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/Country	2024-06-26			|unknown:undigitized|unknown|Unknown	http://www.tdwg.org/schemas/abcd/2.06	http://rs.tdwg.org/abcd/terms/Gathering-Country	https://tdwg.github.io/mids/information-elements#QualitativeLocation						QualitativeLocation
mids:QualitativeLocation	mids:MIDS2	skos:narrowMatch	abcd:Biotope	abcd:Unit	semapv:HumanCuration	orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/Biotope	2024-06-26			|unknown:undigitized|unknown|Unknown	http://www.tdwg.org/schemas/abcd/2.06	http://rs.tdwg.org/abcd/terms/Biotope	https://tdwg.github.io/mids/information-elements#QualitativeLocation						QualitativeLocation
mids:QualitativeLocation	mids:MIDS2	skos:narrowMatch	abcd:Gathering-NamedArea-AreaName	abcd:Unit	semapv:HumanCuration	orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/NamedAreas/NamedArea/AreaName	2024-06-26			|unknown:undigitized|unknown|Unknown	http://www.tdwg.org/schemas/abcd/2.06	http://rs.tdwg.org/abcd/terms/Gathering-NamedArea-AreaName	https://tdwg.github.io/mids/information-elements#QualitativeLocation						QualitativeLocation
mids:QualitativeLocation	mids:MIDS2	skos:narrowMatch	abcd:Gathering-NearNamedPlace	abcd:Unit	semapv:HumanCuration	orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849	Stefan Seifert|David Fichtmueller	orcid:0000-0002-3973-1252	Mathias Dillen	rdf property	xpath	/DataSets/DataSet/Units/Unit/Gathering/AreaDetail	2024-06-26			|unknown:undigitized|unknown|Unknown	http://www.tdwg.org/schemas/abcd/2.06	http://rs.tdwg.org/abcd/terms/Gathering-NearNamedPlace	https://tdwg.github.io/mids/information-elements#QualitativeLocation						QualitativeLocation
